SPÓŁDZIELNIA MIESZKANIOWA KUKUŁEK;0001060577;5214037859;52648148100000;UL. PUŁAWSKA 77;;02-595;WARSZAWA;;SPÓŁDZIELNIA;28.09.2023;52.20141505;21.024422825319487
SPÓŁDZIELNIA "OWNERSHIP";0001007387;5213997385;52394695600000;UL. GRAŻYNY 13;;02-548;WARSZAWA;;SPÓŁDZIELNIA;16.12.2022;52.2036254;21.0202967
SPÓŁDZIELNIA DOBRZE;0001005489;5213996960;52392760500000;UL. POLNA 18/20;;00-625;WARSZAWA;;SPÓŁDZIELNIA;14.12.2022;52.21601795;21.0183220669522
SPÓŁDZIELNIA MIESZKANIOWA "OSTOJA";0001006590;1133079805;52385832400000;ALEJA STANÓW ZJEDNOCZONYCH 72;UŻ. 24;04-036;WARSZAWA;;SPÓŁDZIELNIA;06.12.2022;52.2436275;21.085082
SPÓŁDZIELNIA PRACY KOOPERATYWA RAZEM;0000980939;5252914759;52252164000000;ALEJA KOMANDOSÓW 33;;04-485;WARSZAWA;;SPÓŁDZIELNIA;07.07.2022;52.2530859;21.168220347874797
SPÓŁDZIELNIA SOCJALNA SŁUSZNA STRAWA;0000913379;5213938247;38986134400000;UL. WAWRZYŃCA ŻUŁAWSKIEGO 4/6;;02-641;WARSZAWA;;SPÓŁDZIELNIA;02.09.2021;52.1908086;20.9917487
SPÓŁDZIELNIA SOCJALNA "CATERIE";0000915297;7011046914;38966338300000;UL. ADOLFA SULIGOWSKIEGO 11/15;8;00-466;WARSZAWA;;SPÓŁDZIELNIA;06.08.2021;52.211339499999994;21.045590366208835
SPÓŁDZIELNIA SOCJALNA OCHOTA;0000899275;5272957648;38893334300000;UL. SZCZĘŚLIWICKA 36;;02-353;WARSZAWA;;SPÓŁDZIELNIA;10.05.2021;52.2182578;20.97149106462691
PLZ SPÓŁDZIELNIA;0000894451;5272955419;38870577700000;UL. GRAŻYNY 13;;02-548;WARSZAWA;;SPÓŁDZIELNIA;15.04.2021;52.2036254;21.0202967
VITALNA SPÓŁDZIELNIA SOCJALNA;0000892358;7011029152;38868781000000;UL. BITWY POD LENINO 13;;01-118;WARSZAWA;;SPÓŁDZIELNIA;14.04.2021;52.2385587;20.944192176103925
SPÓŁDZIELNIA SOCJALNA "GWIAZDKA" W LIKWIDACJI;0000884629;1133028216;38826023000000;UL. JANA ZAMOYSKIEGO 43;U4/315;03-801;WARSZAWA;;SPÓŁDZIELNIA;23.02.2021;52.2477422;21.0488316
SPÓŁDZIELNIA BUDOWLANO MIESZKANIOWA "LOKUM";0000771170;5252780425;38257608900000;UL. FLORIAŃSKA 6;02;03-707;WARSZAWA;;SPÓŁDZIELNIA;14.02.2019;52.2523498;21.0339798
SPÓŁDZIELNIA MIESZKANIOWA "KOSZYKOWA 60/62";0000752037;7010875005;38151450200000;UL. KOSZYKOWA 60/62;39;00-673;WARSZAWA;;SPÓŁDZIELNIA;08.10.2018;52.2227226;21.011396
